dataset,model,split,kernel size,input size,dropout,batch size,val spearman,val loss,test spearman,test loss,lightning log, preprocessed
aav,cnn,seven_vs_many,5,1024,0.0,256,0.9153057336807251,1.530300259590149,0.73438560962677,5.349017143249512,140,False
aav,cnn,two_vs_many,5,1024,0.0,256,0.8351423740386963,2.2713239192962646,0.43995586037635803,15.848453521728516,141,False
aav,cnn,seven_vs_many,5,43,0.0,256,0.8866377472877502,2.110867977142334,0.6718131899833679,3.582749605178833,143,True
aav,cnn,two_vs_many,5,43,0.0,256,0.826683759689331,2.257291316986084,0.5841834545135498,7.019651889801025,144,True
aav,cnn,seven_vs_many,5,43,0.0,64,0.9034110307693481,1.7770214080810547,0.6948732137680054,2.9861066341400146,145,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8434256315231323,1.8256134986877441,0.6531849503517151,5.777756690979004,146,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8097702264785767,2.9013969898223877,0.5770052671432495,5.4218268394470215,155,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8418934941291809,1.9185281991958618,0.6222458481788635,6.362139701843262,156,True
aav,cnn,two_vs_many,5,43,0.0,64,0.7818846702575684,3.167905569076538,0.48160627484321594,7.3383917808532715,158,True
aav,cnn,two_vs_many,5,43,0.0,64,0.7655863165855408,3.494934558868408,0.40710240602493286,7.927988052368164,159,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6026201844215393,7.393274784088135,-0.17457564175128937,9.595857620239258,162,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6340261697769165,6.213520050048828,-0.01790579967200756,8.800346374511719,163,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6938238739967346,4.699104309082031,0.20948758721351624,8.373537063598633,164,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,165,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,167,True
aav,cnn,two_vs_many,5,43,0.0,64,0.5865970849990845,8.466108322143555,-0.33147668838500977,10.576883316040039,168,True
aav,cnn,two_vs_many,5,43,0.0,64,0.5679290294647217,8.446812629699707,-0.34640738368034363,10.553621292114258,169,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6698365211486816,6.123253345489502,0.004814101383090019,8.613731384277344,170,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,171,True
aav,cnn,two_vs_many,5,43,0.0,256,0.743767261505127,3.8183493614196777,0.3521516025066376,8.456924438476562,184,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8434256315231323,1.8256134986877441,0.6531849503517151,5.777756690979004,186,True
aav,cnn,mut_des,5,43,0.0,256,0.8944855332374573,1.9783519506454468,0.7430756688117981,5.142354965209961,255,True,4
aav,cnn,mut_des,5,43,0.0,256,0.8971181511878967,1.9105201959609985,0.7503007650375366,4.856969833374023,256,True,5
aav,cnn,mut_des,5,43,0.0,256,0.8959188461303711,1.9109636545181274,0.7543070316314697,4.865293502807617,257,True,6
aav,cnn,mut_des,5,43,0.0,256,0.8961392045021057,1.9194413423538208,0.7486030459403992,5.0035223960876465,258,True,7
aav,cnn,mut_des,5,43,0.0,256,0.8965245485305786,1.9047821760177612,0.7359926104545593,5.256470680236816,259,True,8
aav,cnn,mut_des,5,43,0.0,256,0.8978235125541687,1.876241683959961,0.7507472634315491,4.879746437072754,260,True,9
aav,cnn,one_vs_many,5,43,0.0,256,0.5869671702384949,6.108694553375244,0.20088453590869904,9.613090515136719,261,True,0
aav,cnn,one_vs_many,5,43,0.0,256,0.39213818311691284,7.246565341949463,0.058879174292087555,10.445663452148438,262,True,1
aav,cnn,one_vs_many,5,43,0.0,256,0.687390148639679,6.031900882720947,0.21404322981834412,9.550078392028809,263,True,2
aav,cnn,one_vs_many,5,43,0.0,256,0.6860863566398621,6.103102684020996,0.18068251013755798,9.658941268920898,264,True,3
aav,cnn,one_vs_many,5,43,0.0,256,0.6292059421539307,6.018089294433594,0.2038060575723648,9.583662986755371,265,True,4
aav,cnn,one_vs_many,5,43,0.0,256,0.16287106275558472,7.800528049468994,0.11152222007513046,10.866521835327148,266,True,5
aav,cnn,one_vs_many,5,43,0.0,256,0.5796164274215698,6.1199774742126465,0.18586048483848572,9.62272834777832,267,True,6
aav,cnn,one_vs_many,5,43,0.0,256,0.6254069805145264,5.996884822845459,0.22495411336421967,9.584636688232422,268,True,7
aav,cnn,one_vs_many,5,43,0.0,256,0.6644087433815002,6.070423603057861,0.21038518846035004,9.500221252441406,269,True,8
aav,cnn,one_vs_many,5,43,0.0,256,0.7076290845870972,5.930436611175537,0.20580092072486877,9.63707160949707,270,True,9
aav,cnn,seven_vs_many,5,43,0.0,256,0.8883007764816284,2.0385642051696777,0.6928540468215942,3.51005482673645,271,True,0
aav,cnn,seven_vs_many,5,43,0.0,256,0.8906936645507812,2.0190370082855225,0.6863669753074646,3.529790163040161,272,True,1
aav,cnn,seven_vs_many,5,43,0.0,256,0.8908941149711609,2.032729148864746,0.6794970631599426,3.5295143127441406,273,True,2
aav,cnn,seven_vs_many,5,43,0.0,256,0.8928703665733337,1.984934687614441,0.6787905693054199,3.269037961959839,274,True,3
aav,cnn,seven_vs_many,5,43,0.0,256,0.8916284441947937,2.0205142498016357,0.6937995553016663,3.4927239418029785,275,True,4
